n,x_n,f_m,E
0,-7,7.0078125,1.005
1,0.045967912443956,0.98640766130688,7.04596791244396
2,3.5142056034021,7.91145442792534,3.46823769095814
3,2.37087633395971,2.80167598977825,1.14332926944238
4,1.28719839399753,1.1533382168902,1.08367793996219
5,-0.380316145386992,1.14858536269056,1.66751453938452
6,2.07667519278867,2.14166425498644,2.45699133817567
7,0.963503638012915,0.986536254661018,1.11317155477576
8,-1.84182878479415,2.12079672058272,2.80533242280707
9,0.787364002851973,0.938554093470114,2.62919278764613
10,-3.99348738011425,4.05627015564427,4.78085138296622
11,0.247333565507017,0.939677649276258,4.24082094562127
12,5.54946121782351,41.283787658949,5.3021276523165
13,4.23729578490047,14.623201169388,1.31216543292304
14,3.02607407541668,5.11982576454417,1.21122170948379
15,1.92416126473453,1.87100019601043,1.10191281068216
16,0.776734597342712,0.936514108653191,1.14742666739182
17,-4.21711481047243,4.27088257084715,4.99384940781514
18,0.21910095951305,0.94490702908734,4.43621576998548
19,5.11065467099964,29.440323999432,4.89155371148659
20,3.82779114622768,10.3719344580776,1.28286352477196
21,2.65482708278761,3.64288185953524,1.17296406344007
22,1.57232398393064,1.40150973947172,1.08250309885697
23,0.25177008898603,0.938896997966815,1.32055389494461
24,5.62634073369951,43.7702899178414,5.37457064471347
25,4.30951075095425,15.5190870020326,1.31682998274526
26,3.09176745014669,5.43363210760876,1.21774330080756
27,1.98497638227218,1.97358543897867,1.1067910678745
28,0.85324637660963,0.953315133349762,1.13173000566255
29,-2.92655509507227,3.05808337251389,3.7798014716819
30,0.438296607354209,0.916706920128515,3.36485170242648
31,15.5198988770205,46969.032259391,15.0816022696663
32,14.0776361002451,17275.7528044068,1.44226277677541
33,12.6359954299011,6352.58738697333,1.44164067034403
34,11.1958379558699,2334.56132585147,1.44015747403119
35,9.75914501542609,856.794356913317,1.43669294044383
36,8.3303188350814,313.536229573567,1.4288261803447
37,6.91863503317153,114.062226817789,1.41168380190987
38,5.54202860382723,41.0505607305155,1.3766064293443
39,4.23032142669187,14.5392190738545,1.31170717713536
40,3.01973411551129,5.09044690235775,1.21058731118058
41,1.91827510572925,1.86143373753937,1.10145900978204
42,0.769167120420405,0.935118481117106,1.14910798530885
43,-4.38809387556715,4.43585253410388,5.15726099598755
44,0.199629646472609,0.948773864586488,4.58772352203976
45,4.85077047324156,24.0046504927662,4.65114082676895
46,3.58743787659332,8.43316939500682,1.26333259664823
47,2.43725895661424,2.97885823856207,1.15017891997908
48,1.35567642110449,1.20349435142962,1.08158253550975
49,-0.199462918992912,1.07033762786438,1.5551393400974
50,2.50098458406919,3.15973156928099,2.7004475030621
51,1.42025764031947,1.25607537325019,1.08072694374972
52,-0.0486771299300437,1.01549957424378,1.46893477024952
53,3.02999604925724,5.13807858853667,3.07867317918728
54,1.92780094003382,1.87694715809571,1.10219510922342
55,0.781398936617881,0.937397792320658,1.14640200341594
56,-4.11672086798994,4.17436346444518,4.89811980460782
57,0.231369699429207,0.942579271915432,4.34809056741915
58,5.29136720392422,33.8702164994261,5.05999750449502
59,3.99587852145441,11.9584780467281,1.29548868246981
60,2.80701142018239,4.19132209672386,1.18886710127202
61,1.71860373674244,1.57257353663325,1.08840768343995
62,0.49124866518089,0.914412296075799,1.22735507156155
63,36.1129813496559,74317419073.9716,35.621732684475
64,34.67028630944,27339850589.606,1.44269504021592
65,33.2275912703044,10057768948.3656,1.44269503913558
66,31.7848962339747,3700046412.28809,1.44269503632971
67,30.3422012049165,1361170998.97402,1.44269502905815
68,28.8995061946579,500746819.335637,1.44269501025859
69,27.4568112328744,184214453.341091,1.44269496178351
70,26.0141163957177,67768703.8075626,1.44269483715668
71,24.5714218779176,24930706.9235984,1.44269451780009
72,23.1287281754451,9171488.95024272,1.4426937024725
73,21.686036545808,3373997.03012884,1.44269162963713
74,20.2433501607634,1241219.32358943,1.4426863850446
75,18.800676971936,456614.634003567,1.4426731888274
76,17.3580367723085,167975.080519939,1.44264019962753
77,15.9154784112723,61790.9041935205,1.44255836103614
78,14.4731212020384,22728.3101474761,1.44235720923389
79,13.0312528024437,8358.36645044596,1.44186839959478
80,11.5905552340378,3072.3414337999,1.44069756840587
81,10.152609688177,1128.10365806925,1.43794554586077
82,8.72096813131552,413.2406982599,1.43164155686151
83,7.30324301856102,150.637877283879,1.41772511275451
84,5.91457397499534,54.4058211996022,1.38866904356568
85,4.5814545042635,19.3602589994516,1.33311947073184
86,3.34002480834216,6.78620207082346,1.24142969592133
87,2.21255498887405,2.42239890865135,1.12746981946812
88,1.11778697364847,1.0523513068434,1.09476801522558
89,-0.969278970472123,1.48004023760125,2.0870659441206
90,1.32192108174716,1.17806676543648,2.29120005221928
91,-0.285572197515367,1.10598835071854,1.60749327926253
92,2.27855771342622,2.57336884591212,2.56412991094159
93,1.18957726364317,1.09128173625254,1.08898044978305
94,-0.688798359868429,1.30916870952844,1.87837562351159
95,1.60802091975335,1.4403129428735,2.29681927962178
96,0.313874121681601,0.929167084408821,1.29414679807175
97,7.02801886218452,123.482190876151,6.71414474050292
98,5.64775563458049,44.4875716289732,1.38026322760402
99,4.32965069671604,15.7776943442668,1.31810493786445
100,3.11010458216146,5.52434720576758,1.21954611455458
101,2.00189853484348,2.00336878649501,1.10820604731798
102,0.874027826415666,0.958744812749102,1.12787070842782
103,-2.6718727660433,2.82879560366006,3.54590059245897
104,0.502164889073811,0.914172416475524,3.17403765511711
105,50.5395446097739,1.63651087159778e+15,50.0373797207001
106,49.096849568885,602038704914370,1.44269504088892
