n,Xm,Fm,Dfm,Ddfm,Error
0,0,2,-5,4,1.005
1,0.588235294117647,-0.114312550345771,-1.67427774089122,9.56634226296585,0.588235294117647
2,0.539119872370776,-0.0210058320017574,-2.11614695508484,8.45867203072571,0.0491154217468711
3,0.529572251067878,-0.000419099491198338,-2.19597619591096,8.26475070765508,0.00954762130289821
4,0.529381539220115,-1.5053765523021e-07,-2.19755201871313,8.26094354296174,0.000190711847762648
