n,Xm,Fm,Error
0,0,2,1.005
1,0.4,0.347021741983621,0.4
2,0.469404348396724,0.145980298069722,0.0694043483967241
3,0.498600408010669,0.0714621074131707,0.0291960596139445
4,0.512892829493303,0.0373429344352822,0.0142924214826341
5,0.520361416380359,0.0201556830149707,0.00746858688705643
6,0.524392552983353,0.0110658024197692,0.00403113660299415
