n,Xn,Fm,Error
0,3,-3.5,1.005
0,3.5,9.16765149399039,1.005
1,3.13814715386117,-1.31188135510367,0.361852846138828
2,3.18344573815654,-0.42578004861525,0.0452985842953644
3,3.20521213583844,0.0342954504612756,0.0217663976819047
4,3.20358960124375,-0.00080530811312407,0.00162253459468831
