n,Xn,Fm,Error
0,3,30,1.005
0,4,67,1.005
1,2.18918918918919,13.4917971294889,1.81081081081081
2,1.73260326799001,8.20112615259623,0.456585921199176
3,1.02484450627373,4.07640060255603,0.707758761716281
4,0.325377788373813,3.03444797590083,0.699466717899919
5,-1.7116585528607,-2.01477443941387,2.03703634123451
6,-0.898826711659135,2.27384737544852,0.81283184120156
7,-1.32979396141568,0.648456215581093,0.430967249756543
8,-1.5017300459206,-0.386691283907174,0.171936084504922
9,-1.43750133909375,0.0295327142821943,0.0642287068268519
10,-1.44205861607846,0.00119144464623386,0.00455727698470976
